Feature,Normalized Gain Importance
PC1,0.05357047673613553
PC4,0.032520204722049056
PC6,0.029010373277049945
PC32,0.028391928143140885
PC14,0.027543375946577412
PC19,0.02546835204046126
PC29,0.024080631258761753
PC33,0.02229017684638441
PC18,0.019562396199633635
PC21,0.018668118050457688
PC7,0.01859606930135548
PC125,0.018247947110201182
PC103,0.017505404531624587
PC44,0.01747191946842445
PC67,0.015306714151582895
PC111,0.014911621753728696
PC120,0.014833613201966328
PC27,0.014242543627297665
PC89,0.013932865840317145
PC57,0.013710690518306434
PC10,0.013423289179802057
PC107,0.013006677025560461
PC105,0.012124723711518726
PC34,0.01198905202452356
PC62,0.01194323398115631
PC92,0.011298784560992134
PC8,0.01116726268642588
PC63,0.010986657458542088
PC39,0.010936216166193585
PC87,0.01063025717701304
PC77,0.01012834192593184
PC58,0.009763579868345302
PC75,0.009633633478592338
PC112,0.009489104967189894
PC51,0.009282386780953484
PC28,0.009162497061524201
PC76,0.00909617764416964
PC82,0.008954933465530541
PC50,0.008924340232745555
PC35,0.008924175807308898
PC83,0.008474040785760719
PC93,0.008110347606057342
PC43,0.0078003023661658896
PC61,0.007434829421943569
PC115,0.007238298389181164
PC54,0.007186854173871301
PC12,0.007156978969787146
PC22,0.007008333295828513
PC40,0.006919482164023654
PC16,0.006905562912992
PC60,0.006882917432284306
PC122,0.006846161933337627
PC65,0.0067845777442401825
PC30,0.0067414369587209125
PC52,0.006455202453259943
PC113,0.0063426058495437785
PC108,0.006271858161329432
PC20,0.006239824763615712
PC73,0.006086979310594623
PC110,0.005822925281541162
PC97,0.00580180680691935
PC56,0.005731290508792485
PC45,0.005546914660385067
PC69,0.005466108301571793
PC116,0.005393823138477988
PC55,0.005342130647960511
PC48,0.005317811863403666
PC88,0.0052587904939957394
PC26,0.005195436384881181
PC102,0.005050300510507872
PC101,0.005034667232457845
PC86,0.004973708694309545
PC36,0.0048652253966636584
PC109,0.00447235232172745
PC68,0.004453653261406588
PC94,0.004344133177956796
PC47,0.004339579962986952
PC64,0.004333447582193568
PC31,0.004243964575646397
PC121,0.0042386308018407814
PC91,0.004218566353486028
PC53,0.004181226760433947
PC117,0.00415707594937693
PC106,0.004036624016155731
PC11,0.003982260771933151
PC95,0.0038102308509043665
PC9,0.0036713200806994264
PC114,0.00365791470000606
PC5,0.0034538124151853086
PC72,0.0034033698938982066
PC66,0.003355798756439341
PC74,0.003319573264773887
PC70,0.00326731460822365
PC59,0.002895067762457478
PC17,0.0027607591813611993
PC98,0.0026497362646970674
PC23,0.0026329864667878635
PC123,0.0026122873102108393
PC37,0.0025573043501950004
PC100,0.0025398925998005263
PC3,0.0025302465096315417
PC96,0.0025216487613973137
PC119,0.002430574892551653
PC104,0.002407386109208876
PC90,0.0021913711228730426
PC25,0.002140739804702167
PC79,0.0021309588568629084
PC71,0.002099595766646736
PC80,0.002026488791420882
PC41,0.0019375775772722391
PC118,0.001922807914381014
PC81,0.0019156272795150268
PC78,0.0018568651873113343
PC46,0.0018415303954262884
PC38,0.001696565889208113
PC24,0.0016840219109734874
PC84,0.001636662619289582
PC49,0.0013649254283086122
PC124,0.0013574861636944187
PC15,0.0012431092218063871
PC13,0.0011622661849387244
PC2,0.001156882542419045
PC99,0.001136714359844633
PC85,0.0010603798952500032
PC42,0.0005404002303998434
