Feature,MLP Projected Gain Importance
hbv_original_glcm_Imc1,0.36131974851160154
hbv_wavelet-LLH_firstorder_Minimum,0.34340561183472457
t2w_wavelet-HLH_glszm_ZoneEntropy,0.34295876511465934
t2w_wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,0.3228221764190092
hbv_wavelet-HLL_firstorder_Minimum,0.31759805627795523
adc_original_shape_Sphericity,0.313933512239961
hbv_log-sigma-5-0-mm-3D_firstorder_Minimum,0.31286479502655457
hbv_wavelet-LHL_firstorder_Minimum,0.3115790597115761
hbv_wavelet-HHH_glszm_SmallAreaEmphasis,0.306926131837744
hbv_wavelet-HHH_firstorder_Minimum,0.2995349099785888
adc_wavelet-HLH_firstorder_Minimum,0.2994219304643067
hbv_log-sigma-3-0-mm-3D_firstorder_Minimum,0.2991065775370709
hbv_wavelet-HLH_firstorder_Minimum,0.2933120543496955
hbv_wavelet-LLL_glcm_Imc1,0.2871977271971701
hbv_wavelet-HHL_firstorder_Minimum,0.28517293697543034
hbv_wavelet-HHL_glcm_Imc2,0.28514571135600925
t2w_log-sigma-3-0-mm-3D_glcm_ClusterShade,0.28293662977578937
t2w_wavelet-LHH_firstorder_10Percentile,0.2800223386977176
adc_wavelet-LHL_glcm_Imc1,0.278366932957222
hbv_wavelet-LHH_firstorder_Mean,0.2782113302809515
adc_log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.2777714303281714
hbv_wavelet-HLH_firstorder_Skewness,0.2762883493387941
hbv_wavelet-LLH_firstorder_Mean,0.27128194472717043
adc_wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.2707685013028634
adc_wavelet-HHL_glcm_Imc1,0.27053488062262143
adc_log-sigma-3-0-mm-3D_firstorder_Minimum,0.26870495260477484
adc_wavelet-LHH_firstorder_Entropy,0.2665874013707623
hbv_wavelet-HLH_glszm_ZoneEntropy,0.2601114450314001
adc_wavelet-LHH_glcm_Imc1,0.25903238642953724
adc_wavelet-LHH_glszm_ZoneEntropy,0.2572688918359126
hbv_log-sigma-3-0-mm-3D_glcm_Imc2,0.25711418673078024
adc_wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.2569502602858517
t2w_wavelet-HHH_firstorder_Minimum,0.2563741154653772
t2w_log-sigma-5-0-mm-3D_glcm_Imc1,0.25543271697162206
adc_wavelet-HHH_glcm_Imc1,0.25386561371794775
t2w_wavelet-LHL_firstorder_Minimum,0.24830692547462155
hbv_wavelet-LHH_firstorder_Median,0.24785587625039737
hbv_wavelet-HLL_glcm_Imc2,0.24746462201193625
adc_wavelet-HLL_firstorder_Minimum,0.24702716665476568
t2w_wavelet-HHH_glcm_Imc1,0.24383618674702465
t2w_wavelet-HLL_firstorder_10Percentile,0.24320857419745381
hbv_wavelet-LHL_glcm_ClusterShade,0.24175452921355578
t2w_wavelet-HLL_firstorder_Median,0.23950045580437007
t2w_wavelet-HHH_firstorder_10Percentile,0.23889253899969684
t2w_log-sigma-3-0-mm-3D_firstorder_Minimum,0.23867800517112858
adc_wavelet-HLL_glcm_Correlation,0.23729638748560541
hbv_wavelet-LHH_firstorder_Minimum,0.23681952976191384
adc_wavelet-HLL_firstorder_10Percentile,0.23503611267035462
hbv_wavelet-LLH_glcm_ClusterShade,0.23348396338395236
t2w_wavelet-HHH_glszm_ZoneEntropy,0.23254132883969048
adc_wavelet-HLL_glszm_ZoneEntropy,0.23205329423185972
hbv_wavelet-HLL_glcm_ClusterShade,0.23184867397399492
adc_log-sigma-5-0-mm-3D_firstorder_Minimum,0.2311640836052445
adc_wavelet-LLH_firstorder_Minimum,0.23097278896640835
hbv_log-sigma-3-0-mm-3D_firstorder_10Percentile,0.2305978604843712
adc_wavelet-LLH_firstorder_10Percentile,0.22957472641931664
adc_wavelet-LHL_glcm_Idmn,0.22797382761771248
hbv_wavelet-HHH_firstorder_Skewness,0.2274798335147619
hbv_wavelet-LLH_firstorder_Entropy,0.22701477900036107
adc_wavelet-LHL_firstorder_10Percentile,0.22616805411556445
adc_wavelet-HLH_firstorder_10Percentile,0.22610165843059485
hbv_wavelet-HLL_glszm_ZoneEntropy,0.2258963009541854
t2w_wavelet-HHL_firstorder_10Percentile,0.2254624404805056
t2w_log-sigma-3-0-mm-3D_glcm_Imc1,0.22367900193994475
adc_wavelet-HHH_firstorder_Minimum,0.22277386602362403
hbv_wavelet-LHH_glcm_Imc2,0.22222841319629733
adc_wavelet-LHH_glcm_Imc2,0.22199091238783777
hbv_wavelet-LHH_firstorder_Skewness,0.22087105576755878
hbv_wavelet-LLH_firstorder_Skewness,0.21994882907151442
t2w_wavelet-HLH_firstorder_Minimum,0.21586093070719528
adc_wavelet-HHH_glszm_ZoneEntropy,0.21557377348153284
t2w_wavelet-HLH_ngtdm_Contrast,0.21477907967547033
hbv_wavelet-HLH_glcm_Imc2,0.21467174110605147
adc_wavelet-HHH_glcm_ClusterShade,0.21365876788936583
t2w_wavelet-LHH_glcm_Imc1,0.2133342545333151
hbv_log-sigma-3-0-mm-3D_glcm_Idmn,0.21190522428203604
t2w_wavelet-HLL_glcm_Imc1,0.21011500262924912
adc_wavelet-HHL_firstorder_10Percentile,0.2094477741774056
adc_original_glcm_ClusterShade,0.2079220635451095
adc_wavelet-HHL_glcm_Imc2,0.20443934518367138
hbv_log-sigma-3-0-mm-3D_firstorder_Mean,0.203956272491593
adc_wavelet-HHL_firstorder_Median,0.20307614730846774
hbv_wavelet-LLH_glcm_Imc1,0.20282465065821176
adc_wavelet-HLH_glcm_Imc1,0.20269958142135755
t2w_original_glcm_Imc1,0.20118533949647274
t2w_log-sigma-5-0-mm-3D_firstorder_Minimum,0.20083697286482244
hbv_log-sigma-5-0-mm-3D_firstorder_Skewness,0.19998291172956398
adc_original_ngtdm_Coarseness,0.19985306076196574
t2w_wavelet-LLH_glcm_ClusterShade,0.1992433156905363
hbv_wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,0.19878535841583228
t2w_wavelet-LHL_ngtdm_Contrast,0.19864516968084844
adc_wavelet-HHL_firstorder_Minimum,0.19708861425952034
adc_wavelet-LHH_firstorder_10Percentile,0.19704964712680173
hbv_wavelet-HLH_firstorder_10Percentile,0.19632821340651918
t2w_wavelet-LHH_glcm_Idmn,0.19590366299735076
adc_wavelet-HHL_ngtdm_Contrast,0.1955953356079232
hbv_wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,0.1955309872363517
t2w_wavelet-LLH_glcm_Imc2,0.19412829832247128
t2w_wavelet-LHL_firstorder_InterquartileRange,0.194126215258007
t2w_wavelet-HLH_glcm_Imc1,0.19390184762342447
adc_wavelet-LLL_glcm_Imc1,0.19387830873414094
adc_wavelet-HLH_glcm_ClusterShade,0.19309425672149355
adc_log-sigma-3-0-mm-3D_ngtdm_Coarseness,0.19256277417181705
t2w_wavelet-LLH_glcm_Imc1,0.1919426521591346
hbv_log-sigma-5-0-mm-3D_glcm_Imc1,0.19192604280331113
hbv_wavelet-HLH_glcm_Imc1,0.19188374162524685
adc_log-sigma-5-0-mm-3D_glcm_Imc1,0.19147351359759351
hbv_log-sigma-5-0-mm-3D_glcm_Idmn,0.19119862300841717
adc_wavelet-LHH_ngtdm_Contrast,0.19030374991915616
t2w_wavelet-LLH_firstorder_Minimum,0.1902618921725912
t2w_log-sigma-5-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.1900698228385572
t2w_wavelet-HHL_ngtdm_Contrast,0.19006420407260083
adc_wavelet-LLL_glcm_JointEnergy,0.18910840140282187
adc_wavelet-HHH_firstorder_10Percentile,0.18706505270873255
hbv_wavelet-HHH_glcm_ClusterShade,0.18659673792727965
hbv_original_glcm_Idmn,0.18651715935812946
adc_wavelet-LLH_glcm_Idmn,0.1864896723890475
adc_wavelet-LLH_glcm_Imc2,0.18632337598041715
adc_log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,0.18606489117605
adc_log-sigma-5-0-mm-3D_glcm_Imc2,0.18596062584773224
t2w_wavelet-LHH_firstorder_Minimum,0.18577286499151144
hbv_wavelet-LHL_glcm_Imc1,0.1846355385812471
hbv_wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.1838126676130436
t2w_wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.18350997101259697
hbv_log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.18333815874913034
adc_log-sigma-3-0-mm-3D_glcm_Imc1,0.18240747552011327
adc_wavelet-LLL_ngtdm_Strength,0.18139308940352888
t2w_wavelet-HHL_firstorder_Minimum,0.18130333374180038
adc_log-sigma-3-0-mm-3D_glszm_ZoneEntropy,0.18076526288809824
adc_wavelet-HHH_ngtdm_Contrast,0.1805512011099675
adc_wavelet-LLH_ngtdm_Contrast,0.18014611386366003
hbv_wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.18003194755415516
t2w_log-sigma-3-0-mm-3D_firstorder_10Percentile,0.17990922966380157
hbv_wavelet-HHH_glcm_Idmn,0.17973291499592003
t2w_log-sigma-3-0-mm-3D_firstorder_Entropy,0.17967784492367303
hbv_wavelet-HLH_firstorder_Median,0.17926921086639075
hbv_wavelet-HLL_firstorder_Entropy,0.1785847169310748
adc_wavelet-HHH_firstorder_Skewness,0.1784298000987689
adc_original_glcm_Imc1,0.17819326367467614
hbv_log-sigma-3-0-mm-3D_firstorder_Skewness,0.17726184891209762
t2w_wavelet-HLL_firstorder_Minimum,0.17725580614848052
adc_wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.1751366046487505
adc_wavelet-LLH_firstorder_Skewness,0.17388907248240196
hbv_wavelet-HHH_glcm_Imc1,0.17352820068005462
hbv_wavelet-LLL_firstorder_Uniformity,0.17258232625683362
hbv_original_glcm_DifferenceEntropy,0.17250148959831454
hbv_wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,0.17245442650090892
t2w_wavelet-LLH_firstorder_Entropy,0.17236598280438517
hbv_wavelet-LLH_glszm_ZoneEntropy,0.17219975079270564
adc_log-sigma-3-0-mm-3D_firstorder_10Percentile,0.16981029076276263
hbv_wavelet-HLL_firstorder_Mean,0.16893936221485845
adc_wavelet-LHL_firstorder_Median,0.1681194979898191
t2w_wavelet-HHH_glcm_Idmn,0.167986895218678
adc_log-sigma-3-0-mm-3D_glcm_Imc2,0.1672711812991608
hbv_wavelet-HHH_firstorder_Median,0.1672361949080488
t2w_wavelet-HHL_glcm_Imc1,0.16693467859430453
hbv_wavelet-LLH_firstorder_Median,0.16689317243459117
hbv_original_firstorder_10Percentile,0.16590588259670355
adc_wavelet-HLH_firstorder_Skewness,0.16588868254413172
adc_wavelet-HLL_glcm_Imc1,0.16531560216639585
t2w_wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.16524721143887391
adc_original_glcm_Imc2,0.16521903474268468
hbv_original_glcm_Contrast,0.16491823285297616
t2w_log-sigma-5-0-mm-3D_glcm_MaximumProbability,0.1648346987460276
hbv_wavelet-LHH_glcm_ClusterShade,0.1642665059833993
t2w_log-sigma-3-0-mm-3D_firstorder_Skewness,0.16366794134898596
t2w_log-sigma-5-0-mm-3D_glcm_Idmn,0.1636184539223438
hbv_wavelet-HLL_glcm_Imc1,0.1629485782478689
hbv_log-sigma-3-0-mm-3D_glcm_Correlation,0.16287134095836872
t2w_wavelet-LHL_firstorder_10Percentile,0.16201971970378096
adc_wavelet-HHH_firstorder_Entropy,0.16194296189636154
hbv_wavelet-LHH_ngtdm_Strength,0.1610478481761978
adc_wavelet-LHL_firstorder_Skewness,0.1594493708053608
adc_wavelet-LLH_firstorder_Entropy,0.15942490937035583
hbv_wavelet-HLH_ngtdm_Contrast,0.15879813276522536
hbv_wavelet-HLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.15856619154619084
hbv_log-sigma-3-0-mm-3D_firstorder_RootMeanSquared,0.15812699162019644
adc_wavelet-HLH_glcm_Idmn,0.15720595421216138
adc_wavelet-LHL_firstorder_Entropy,0.15682462487425375
hbv_wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.15570257622626663
t2w_wavelet-HLH_firstorder_10Percentile,0.15555327286791515
t2w_wavelet-LLH_firstorder_InterquartileRange,0.15542400958285285
t2w_wavelet-HLL_ngtdm_Contrast,0.15517886061971184
